rank,name,profile,uid,changesets,map_changes,countries,editors,nodes.create,nodes.modify,nodes.delete,ways.create,ways.modify,ways.delete,relations.create,relations.modify,relations.delete,poi.create,poi.modify,building.create,building.modify,highway.create,highway.modify,waterway.create,waterway.modify,amenity.create,amenity.modify,tags_create,tags_modify,hashtags,start_date,end_date
2698,Richard Try,https://www.openstreetmap.org/user/Richard%20Try,7763332,7,18,Russian Federation,"StreetComplete_ee 53.32,Vespucci 19.3.2.0",4,4,0,2,8,0,0,0,0,1,4,0.0,0.0,2.0,7.0,0.0,0.0,0.0,2.0,"{""highway"": 2, ""surface"": 2, ""entrance"": 1}","{""highway"": 7, ""surface"": 6, ""amenity"": 2, ""entrance"": 1, ""crossing"": 1, ""crossing:island"": 1, ""bicycle_rental"": 1, ""brand"": 1, ""brand:en"": 1, ""brand:ru"": 1, ""brand:wikidata"": 1, ""capacity"": 1, ""capacity:electric"": 1, ""contact:email"": 1, ""contact:phone"": 1, ""contact:website"": 1, ""fee"": 1, ""network"": 1, ""network:en"": 1, ""network:ru"": 1, ""network:wikidata"": 1, ""opening_hours"": 1, ""operator"": 1, ""payment:cash"": 1, ""payment:mastercard"": 1, ""payment:troika"": 1, ""payment:visa"": 1, ""ref"": 1, ""seasonal"": 1, ""barrier"": 1, ""backrest"": 1, ""material"": 1, ""side"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2699,TheCraddingGuy,https://www.openstreetmap.org/user/TheCraddingGuy,19643525,1,17,Austria,Go Map!! 3.4.8,1,1,1,1,13,0,0,0,0,0,0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,"{""highway"": 1, ""service"": 1, ""surface"": 1}","{""highway"": 12, ""surface"": 12, ""lanes"": 11, ""maxspeed"": 11, ""name"": 10, ""lanes:backward"": 7, ""ref"": 6, ""source"": 4, ""turn:lanes:backward"": 2, ""lit"": 1, ""junction"": 1, ""loc_name"": 1, ""unsigned_ref"": 1, ""amenity"": 1, ""parking"": 1, ""service"": 1, ""turn:lanes:forward"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2700,AcrobaticCell,https://www.openstreetmap.org/user/AcrobaticCell,4170283,1,17,Romania,iD 2.27.3,6,9,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},"{""CLC:code"": 2, ""CLC:explanation"": 2, ""CLC:shapeId"": 2, ""CLC:year"": 2, ""source"": 2, ""source:ro"": 2, ""landuse"": 1, ""leaf_cycle"": 1, ""name"": 1, ""natural"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2701,smo,https://www.openstreetmap.org/user/smo,7296,8,17,Germany,StreetComplete 55.1,0,2,0,0,15,0,0,0,0,0,2,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,{},"{""highway"": 12, ""surface"": 11, ""name"": 9, ""lane_markings"": 8, ""building"": 4, ""cycleway:both"": 3, ""operator"": 2, ""lit"": 2, ""maxspeed"": 2, ""sidewalk"": 2, ""button_operated"": 1, ""crossing"": 1, ""crossing:island"": 1, ""crossing_ref"": 1, ""tactile_paving"": 1, ""traffic_signals:sound"": 1, ""traffic_signals:vibration"": 1, ""addr:city"": 1, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""female"": 1, ""male"": 1, ""shop"": 1, ""wheelchair"": 1, ""oneway"": 1, ""bicycle"": 1, ""vehicle"": 1, ""sport"": 1, ""tracktype"": 1, ""lanes"": 1, ""ref"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2702,hildgyorgy,https://www.openstreetmap.org/user/hildgyorgy,140669,1,17,Hungary,Go Map!! 3.4.8,0,17,0,0,0,0,0,0,0,0,0,,,,,,,,,{},{},,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2703,juliett_tango,https://www.openstreetmap.org/user/juliett_tango,20516157,2,17,Germany,JOSM/1.5 (18360 Debian de),9,3,0,1,2,0,0,2,0,0,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,"{""bicycle"": 1, ""foot"": 1, ""highway"": 1, ""smoothness"": 1, ""surface"": 1, ""tracktype"": 1, ""vehicle"": 1, ""width"": 1}","{""name"": 3, ""bicycle"": 2, ""foot"": 2, ""highway"": 2, ""smoothness"": 2, ""surface"": 2, ""tracktype"": 2, ""vehicle"": 2, ""description"": 2, ""network"": 2, ""operator"": 2, ""osmc:symbol"": 2, ""ref"": 2, ""route"": 2, ""type"": 2, ""width"": 1, ""check_date"": 1, ""official_name"": 1, ""official_name:note"": 1, ""distance"": 1, ""from"": 1, ""symbol"": 1, ""to"": 1, ""wiki:symbol"": 1, ""wikidata"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2704,AndreaDFC,https://www.openstreetmap.org/user/AndreaDFC,172782,2,17,Italy,iD 2.27.3,2,5,2,1,4,0,3,0,0,1,1,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,"{""restriction"": 3, ""type"": 3, ""highway"": 2, ""traffic_signals"": 1, ""traffic_signals:countdown"": 1, ""traffic_signals:direction"": 1, ""bicycle"": 1, ""crossing"": 1, ""crossing:island"": 1, ""crossing:markings"": 1, ""flashing_lights"": 1, ""footway"": 1, ""horse"": 1, ""surface"": 1, ""tactile_paving"": 1, ""traffic_calming"": 1}","{""highway"": 5, ""smoothness"": 4, ""surface"": 4, ""sidewalk"": 3, ""lanes"": 3, ""lit"": 3, ""maxspeed"": 3, ""maxspeed:type"": 3, ""name"": 3, ""oneway"": 3, ""parking:both"": 3, ""covered"": 2, ""flood_prone"": 2, ""incline"": 2, ""lane_markings"": 2, ""toll"": 2, ""trolley_wire"": 2, ""zone:maxspeed"": 2, ""crossing"": 1, ""crossing:island"": 1, ""crossing:markings"": 1, ""flashing_lights"": 1, ""kerb"": 1, ""tactile_paving"": 1, ""traffic_calming"": 1, ""cycleway:left"": 1, ""cycleway:right"": 1, ""cycleway"": 1, ""hgv"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2705,paulbrunner,https://www.openstreetmap.org/user/paulbrunner,15541433,1,17,Switzerland,Every Door Android 4.1,0,16,1,0,0,0,0,0,0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,{},"{""check_date"": 16, ""name"": 16, ""wheelchair"": 16, ""shop"": 12, ""opening_hours"": 10, ""level"": 9, ""website"": 5, ""addr:housenumber"": 4, ""addr:street"": 4, ""amenity"": 3, ""addr:city"": 3, ""addr:postcode"": 3, ""outdoor_seating"": 2, ""phone"": 2, ""unisex"": 2, ""addr:country"": 1, ""cuisine"": 1, ""delivery"": 1, ""takeaway"": 1, ""check_date:opening_hours"": 1, ""craft"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2706,myozone,https://www.openstreetmap.org/user/myozone,26600,2,17,U.K. of Great Britain and Northern Ireland,iD 2.27.3,12,0,0,3,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""barrier"": 3}","{""natural"": 2, ""leaf_type"": 1, ""source"": 1, ""access"": 1, ""landuse"": 1, ""meadow"": 1, ""name"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2707,robbob700,https://www.openstreetmap.org/user/robbob700,540739,6,17,U.K. of Great Britain and Northern Ireland,JOSM/1.5 (18907 en_GB),0,0,0,3,3,0,0,11,0,0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,"{""highway"": 3, ""maxspeed"": 3, ""maxspeed:type"": 2, ""name"": 2, ""old_ref"": 1, ""oneway"": 1, ""junction"": 1, ""noname"": 1}","{""name"": 13, ""operator"": 11, ""public_transport:version"": 11, ""ref"": 11, ""route"": 11, ""type"": 11, ""from"": 9, ""to"": 9, ""network"": 8, ""network:wikidata"": 6, ""duration"": 4, ""opening_hours"": 4, ""highway"": 3, ""maxspeed"": 3, ""maxspeed:type"": 2, ""interval"": 2, ""interval:conditional"": 2, ""old_ref"": 1, ""junction"": 1, ""noname"": 1, ""oneway"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2708,Enrico Net,https://www.openstreetmap.org/user/Enrico%20Net,20251608,2,17,Italy,iD 2.27.3,1,8,0,0,8,0,0,0,0,0,8,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,{},"{""name"": 15, ""shop"": 9, ""highway"": 7, ""addr:postcode"": 6, ""opening_hours"": 5, ""addr:city"": 5, ""addr:housenumber"": 5, ""addr:street"": 5, ""oneway"": 5, ""brand"": 4, ""brand:wikidata"": 4, ""operator"": 3, ""payment:cash"": 3, ""payment:credit_cards"": 3, ""phone"": 3, ""payment:american_express"": 2, ""payment:debit_cards"": 2, ""payment:maestro"": 2, ""payment:mastercard"": 2, ""payment:visa"": 2, ""payment:contactless"": 1, ""payment:notes"": 1, ""building"": 1, ""website"": 1, ""maxspeed"": 1, ""indoor"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2709,federico3,https://www.openstreetmap.org/user/federico3,450563,6,17,Italy,StreetComplete_ee 55.0,0,0,0,0,17,0,0,0,0,0,0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,{},"{""highway"": 16, ""surface"": 16, ""lit"": 11, ""smoothness"": 11, ""area"": 5, ""amenity"": 1, ""building"": 1, ""denomination"": 1, ""name"": 1, ""religion"": 1, ""wheelchair"": 1, ""footway"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2710,m_bakhshipour,https://www.openstreetmap.org/user/m_bakhshipour,10181937,9,17,Iran (Islamic Republic of),iD 2.27.3,2,0,1,1,13,0,0,0,0,0,0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,"{""highway"": 1, ""name"": 1}","{""highway"": 12, ""name"": 11, ""maxspeed"": 4, ""access"": 2, ""oneway"": 2, ""source"": 1, ""surface"": 1, ""amenity"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2711,BTT26IE7J3,https://www.openstreetmap.org/user/BTT26IE7J3,20736380,1,17,Australia,Map builder 0.3.0,16,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 1}",{},,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2712,fenrisster,https://www.openstreetmap.org/user/fenrisster,2482553,1,17,Serbia,iD 2.27.3,9,7,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,{},"{""highway"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2713,Stephanievanr,https://www.openstreetmap.org/user/Stephanievanr,10732729,7,17,South Africa,JOSM/1.5 (18907 en),0,0,0,4,13,0,0,0,0,0,0,0.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,"{""highway"": 4, ""ref"": 2, ""surface"": 2}","{""highway"": 13, ""ref"": 11, ""surface"": 11, ""bridge"": 1, ""layer"": 1}",#Kaart,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2714,mats_mats,https://www.openstreetmap.org/user/mats_mats,537238,1,17,Austria,iD 2.27.3,4,6,4,1,2,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"{""addr:city"": 1, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""building"": 1}","{""landuse"": 1, ""highway"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2715,Apay00,https://www.openstreetmap.org/user/Apay00,14269028,1,17,,JOSM/1.5 (18905 en),16,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""natural"": 1}",{},,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2716,Velella,https://www.openstreetmap.org/user/Velella,88462,1,17,New Zealand,JOSM/1.5 (18622 en_GB),1,12,0,0,4,0,0,0,0,1,0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,"{""barrier"": 1, ""foot"": 1, ""material"": 1, ""stile"": 1, ""vehicle"": 1, ""wheelchair"": 1}","{""name"": 2, ""building"": 2, ""highway"": 1, ""natural"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2717,BGTrails,https://www.openstreetmap.org/user/BGTrails,14450455,1,17,United States of America,iD 2.27.3,0,0,0,0,17,0,0,0,0,0,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,{},"{""abandoned:railway"": 17, ""gauge"": 17, ""highway"": 17, ""horse"": 17, ""name"": 17, ""old_railway_operator"": 17, ""railway"": 17, ""snowmobile"": 17, ""tiger:cfcc"": 17, ""tiger:county"": 17, ""tiger:name_base"": 16, ""electrified"": 9, ""embankment"": 7, ""bridge"": 1, ""layer"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2718,MarkWThomas,https://www.openstreetmap.org/user/MarkWThomas,9646092,1,17,United States of America,iD 2.27.3,12,2,0,2,1,0,0,0,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 2, ""name"": 1}","{""building"": 1, ""building:levels"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2719,archINFORM,https://www.openstreetmap.org/user/archINFORM,225813,17,17,"Germany,Switzerland",archINFORM-Wikidata-Enricher/0.1,0,0,0,0,16,0,0,1,0,0,0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,{},"{""building"": 17, ""wikidata"": 17, ""addr:country"": 11, ""addr:postcode"": 11, ""addr:street"": 11, ""addr:city"": 9, ""source"": 4, ""addr:housenumber"": 2, ""note"": 2, ""amenity"": 1, ""building:architecture"": 1, ""check_date"": 1, ""denomination"": 1, ""heritage"": 1, ""heritage:operator"": 1, ""image"": 1, ""name"": 1, ""religion"": 1, ""source:heritage"": 1, ""website"": 1, ""wikimedia_commons"": 1, ""building:levels"": 1, ""roof:levels"": 1, ""type"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2720,くっすん,https://www.openstreetmap.org/user/%E3%81%8F%E3%81%A3%E3%81%99%E3%82%93,3403151,1,17,,iD 2.27.3,15,0,0,0,2,0,0,0,0,15,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""emergency"": 15, ""content"": 1, ""man_made"": 1}","{""building"": 2, ""source"": 2, ""level"": 1}",#MappyHourJapan,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2721,Bruce P,https://www.openstreetmap.org/user/Bruce%20P,10432,3,17,Australia,JOSM/1.5 (18907 en_AU),2,3,0,0,12,0,0,0,0,0,0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,{},"{""name"": 11, ""highway"": 11, ""surface"": 11, ""network"": 10, ""oneway"": 10, ""ref"": 10, ""source"": 4, ""leisure"": 1, ""width"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2722,fndoder,https://www.openstreetmap.org/user/fndoder,434927,3,17,Russian Federation,JOSM/1.5 (18822 en),4,2,6,0,3,1,0,1,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,{},"{""building"": 3, ""construction"": 3, ""building:levels"": 2, ""addr:housenumber"": 2, ""addr:street"": 2, ""barrier"": 1, ""building:flats"": 1, ""description"": 1, ""opening_date"": 1, ""website"": 1, ""type"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2723,Philippe9517,https://www.openstreetmap.org/user/Philippe9517,5701301,11,17,France,iD 2.27.3,0,3,0,2,11,0,0,1,0,0,3,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,"{""access"": 1, ""highway"": 1, ""motorcar"": 1, ""name"": 1, ""tracktype"": 1}","{""highway"": 10, ""foot"": 8, ""motor_vehicle"": 7, ""name"": 7, ""tracktype"": 7, ""bicycle"": 6, ""surface"": 6, ""access"": 4, ""barrier"": 3, ""height"": 2, ""horse"": 2, ""locked"": 2, ""material"": 2, ""wheelchair"": 2, ""motorcar"": 2, ""width"": 2, ""natural"": 1, ""private"": 1, ""ref"": 1, ""type"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2724,KhunMgGyi,https://www.openstreetmap.org/user/KhunMgGyi,446530,1,17,Myanmar,iD 2.27.3,1,14,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{},"{""crop"": 2, ""landuse"": 2, ""name"": 2, ""operator"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2725,Jakuje,https://www.openstreetmap.org/user/Jakuje,1641564,4,17,Czech Republic,"JOSM/1.5 (18907 en),iD 2.27.3",8,4,0,3,2,0,0,0,0,0,4,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,"{""highway"": 2, ""access"": 1, ""bicycle"": 1, ""foot"": 1, ""horse"": 1, ""motor_vehicle"": 1, ""surface"": 1, ""tracktype"": 1, ""intermittent"": 1, ""natural"": 1, ""water"": 1, ""service"": 1}","{""access"": 3, ""barrier"": 3, ""bicycle"": 2, ""foot"": 2, ""motor_vehicle"": 2, ""highway"": 2, ""horse"": 1, ""amenity"": 1, ""check_date:opening_hours"": 1, ""name"": 1, ""opening_hours"": 1, ""phone"": 1, ""website"": 1, ""service"": 1, ""surface"": 1, ""tracktype"": 1}","#OSMChecks,#FootwayConflictingNodes,#maproulette",2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2726,Armand_Rose,https://www.openstreetmap.org/user/Armand_Rose,1553625,4,16,Mauritius,iD 2.27.3,0,5,0,0,11,0,0,0,0,0,0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,{},"{""highway"": 11, ""maxspeed"": 11, ""oneway"": 11, ""surface"": 11, ""name"": 10, ""lanes"": 9, ""opening_date"": 7, ""bridge"": 6, ""layer"": 6, ""motor_vehicle"": 5, ""name:mfe"": 2}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2727,steverob5,https://www.openstreetmap.org/user/steverob5,3247065,1,16,U.K. of Great Britain and Northern Ireland,iD 2.27.3,4,5,1,2,4,0,0,0,0,0,0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,"{""highway"": 2, ""name"": 1}","{""highway"": 4, ""name"": 4}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2728,Tom Curd,https://www.openstreetmap.org/user/Tom%20Curd,13753751,1,16,U.K. of Great Britain and Northern Ireland,iD 2.27.3,8,3,1,2,2,0,0,0,0,0,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"{""building"": 2, ""operator"": 2, ""operator:wikidata"": 2, ""power"": 2, ""name"": 1, ""ref"": 1, ""substation"": 1}","{""name"": 2, ""addr:postcode"": 1, ""addr:street"": 1, ""amenity"": 1, ""capacity"": 1, ""fhrs:id"": 1, ""isced:level"": 1, ""max_age"": 1, ""min_age"": 1, ""phone"": 1, ""ref:GB:uprn"": 1, ""ref:edubase"": 1, ""ref:edubase:group"": 1, ""religion"": 1, ""school:boarding"": 1, ""school:gender"": 1, ""school:selective"": 1, ""school:trust"": 1, ""school:trust:name"": 1, ""school:trust:type"": 1, ""school:type"": 1, ""website"": 1, ""wikidata"": 1, ""building"": 1, ""operator"": 1, ""operator:wikidata"": 1, ""power"": 1, ""ref"": 1, ""substation"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2729,mrieracrespi,https://www.openstreetmap.org/user/mrieracrespi,3200660,2,16,Spain,iD 2.27.3,6,3,0,2,5,0,0,0,0,0,0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,"{""highway"": 2, ""oneway"": 2}","{""highway"": 3, ""oneway"": 2, ""name"": 1, ""name:ca"": 1, ""source"": 1, ""service"": 1, ""amenity"": 1, ""landuse"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2730,Op 't rad,https://www.openstreetmap.org/user/Op%20%27t%20rad,20194887,11,16,"Netherlands,Germany",iD 2.27.3,0,4,1,0,11,0,0,0,0,0,4,0.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,{},"{""name"": 13, ""source"": 6, ""source:date"": 6, ""amenity"": 5, ""building"": 5, ""ref:bag"": 5, ""start_date"": 5, ""operator"": 4, ""addr:street"": 3, ""addr:city"": 2, ""addr:housenumber"": 2, ""addr:postcode"": 2, ""access"": 2, ""club"": 1, ""ref:scoutingnl"": 1, ""board_type"": 1, ""description"": 1, ""direction"": 1, ""information"": 1, ""tourism"": 1, ""historic"": 1, ""note"": 1, ""sport"": 1, ""fee"": 1, ""parking"": 1, ""highway"": 1, ""oneway"": 1, ""surface"": 1, ""tracktype"": 1, ""smoking"": 1, ""landuse"": 1, ""theatre:type"": 1, ""covered"": 1, ""military:demolished"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2731,Bart-,https://www.openstreetmap.org/user/Bart-,16626095,3,16,Germany,Go Map!! 3.4.8,10,0,4,1,0,1,0,0,0,2,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"{""amenity"": 2, ""bicycle_parking"": 2, ""capacity"": 2, ""building"": 1}",{},,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2732,T729RB3I2M,https://www.openstreetmap.org/user/T729RB3I2M,20743708,3,16,Argentina,Map builder 0.3.0,13,0,0,3,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""building"": 3}",{},,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2733,bcimo,https://www.openstreetmap.org/user/bcimo,17650912,1,16,Kenya,iD 2.21.1,0,16,0,0,0,0,0,0,0,0,0,,,,,,,,,{},{},#hotosm-project-13532,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2734,tbicr,https://www.openstreetmap.org/user/tbicr,278800,1,16,Belarus,osmapi/3.1.0,0,5,0,0,11,0,0,0,0,0,5,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,{},"{""name"": 11, ""name:be"": 11, ""name:ru"": 11, ""surface"": 7, ""highway"": 6, ""addr:housenumber"": 5, ""addr:street"": 5, ""building"": 5, ""check_date"": 4, ""public_transport"": 4, ""survey:date"": 4, ""bench"": 2, ""bin"": 2, ""departures_board"": 2, ""operator"": 2, ""shelter"": 2, ""tactile_paving"": 2, ""bus"": 2, ""network"": 2, ""ref"": 2, ""information"": 1, ""tourism"": 1, ""maxspeed"": 1, ""smoothness"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2735,meshhh,https://www.openstreetmap.org/user/meshhh,16898329,3,16,United States of America,iD 2.27.3,3,0,8,0,5,0,0,0,0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,{},"{""highway"": 5, ""service"": 3, ""bicycle"": 1, ""foot"": 1, ""surface"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2736,Mike Lehmann,https://www.openstreetmap.org/user/Mike%20Lehmann,127903,1,16,Switzerland,iD 2.27.3,4,8,0,0,4,0,0,0,0,1,3,0.0,1.0,0.0,3.0,0.0,0.0,1.0,4.0,"{""amenity"": 1, ""backrest"": 1, ""colour"": 1, ""material"": 1, ""seats"": 1}","{""amenity"": 4, ""highway"": 3, ""backrest"": 2, ""colour"": 2, ""material"": 2, ""seats"": 2, ""bin"": 1, ""check_date"": 1, ""fee"": 1, ""vending"": 1, ""lane_markings"": 1, ""maxspeed"": 1, ""name"": 1, ""surface"": 1, ""addr:city"": 1, ""addr:country"": 1, ""addr:housenumber"": 1, ""addr:postcode"": 1, ""addr:street"": 1, ""building"": 1, ""ele"": 1, ""shelter_type"": 1, ""hgv"": 1, ""motorcar"": 1, ""motorcycle"": 1, ""tracktype"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2737,MrSkull,https://www.openstreetmap.org/user/MrSkull,14802246,1,16,Italy,iD 2.27.3,12,0,1,2,1,0,0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,"{""amenity"": 2, ""shelter_type"": 2, ""leisure"": 2, ""sport"": 2}","{""amenity"": 1, ""building"": 1, ""source"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2738,541074,https://www.openstreetmap.org/user/541074,17921090,5,16,Germany,StreetComplete 55.1,0,0,0,0,16,0,0,0,0,0,0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,{},"{""highway"": 15, ""surface"": 15, ""indoor"": 10, ""level"": 10, ""lit"": 5, ""incline"": 5, ""cycleway:both"": 4, ""sidewalk"": 4, ""layer"": 4, ""tactile_paving"": 2, ""wheelchair"": 2, ""access"": 2, ""maxspeed"": 1, ""name"": 1, ""sidewalk:both:surface"": 1, ""smoothness"": 1, ""building"": 1, ""check_date"": 1, ""construction"": 1, ""conveying"": 1, ""description"": 1, ""operator"": 1, ""ref"": 1, ""width"": 1}",,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
2739,astro79,https://www.openstreetmap.org/user/astro79,10315224,1,16,Poland,iD 2.27.3,0,0,15,0,0,1,0,0,0,0,0,,,,,,,,,{},{},,2023-12-23 00:00:00+00:00,2023-12-24 00:00:00+00:00
